,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,18.34389,18.3287,18.05207,35.17335,33.84157,33.12975,39.03559,35.92967,35.81477,33.99425,35.21243,36.05764,32.34184,33.63493,32.28888,28.74793,29.02942,28.40345,28.78654,28.59412,28.63917,26.96017,27.5534,NaN
B,19.01319,18.61123,18.58264,34.11911,33.96129,32.2857,33.31853,33.17971,32.83545,NaN,34.97764,35.94692,31.27908,31.06732,31.05044,29.89995,29.51192,29.1819,29.12651,29.30389,29.37768,27.07634,27.47294,NaN
C,19.04504,18.48963,18.57831,33.72014,34.48938,34.01129,33.56943,33.22259,32.79998,NaN,36.08023,35.20586,31.81866,31.54536,31.74369,29.82882,29.74262,29.6736,28.96117,28.48785,29.19608,26.357,26.97915,NaN
D,18.05929,18.25439,17.89288,34.43795,33.95637,32.90997,32.25632,33.32744,36.43075,34.44566,36.18169,33.84873,31.59785,31.01666,31.16164,29.11172,29.42647,28.58006,28.34416,28.49995,28.65149,25.62094,25.62448,NaN
E,17.92339,18.06818,17.95053,34.43417,34.51006,33.35445,33.45211,32.90729,36.05367,39.29237,NaN,34.35814,33.50152,31.47136,32.32151,28.7463,29.06236,29.74611,28.22006,28.0598,27.89131,26.66826,27.00917,NaN
F,19.22027,19.02995,18.91711,35.14905,34.56615,33.04985,30.74527,29.97625,30.72331,36.71617,35.23362,35.98264,31.74847,30.77754,31.29655,29.29568,29.10329,29.2494,28.59049,28.91569,28.64707,27.2737,27.23512,NaN
G,19.81503,19.7534,19.66151,35.69904,35.8621,33.7249,31.86286,32.08625,31.60904,NaN,35.04115,34.90903,33.74797,32.02983,32.33495,29.67035,30.00936,29.50327,28.0387,27.96822,28.69033,28.23326,28.37404,NaN
H,18.15951,18.29054,18.11154,34.84706,35.78667,32.32312,32.98462,32.27264,32.19453,35.91724,35.4246,34.8114,31.28914,31.00971,30.47954,29.2048,28.98067,28.48315,29.0822,28.53355,28.15643,26.454,26.68168,NaN
I,18.49352,18.3726,18.20688,34.21724,34.61356,32.39589,32.5192,33.74721,34.96444,NaN,NaN,35.10717,31.94985,30.98324,31.91916,29.34217,28.90642,28.03645,28.56848,28.00081,27.30141,27.04898,26.83759,NaN
J,18.16185,17.89315,18.42423,33.19913,35.76302,33.18156,34.21843,34.20642,33.67749,34.25155,NaN,NaN,33.1394,33.03724,32.39961,28.0821,NaN,27.05954,28.05054,28.70688,28,27.17055,27.71266,NaN
