,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
M1,18.84041,18.60793,18.40817,21.57485,21.76817,21.59148,21.22606,21.10789,21.10416,23.50314,23.54776,23.65755,27.73711,27.80666,27.59428,30.46519,30.39515,30.74418,29.2782,29.11687,29.31546,24.5843,24.65959,24.52542
M2,18.82198,18.62519,18.41288,21.50123,21.72028,21.54622,21.26596,21.17082,21.28153,23.54336,23.58366,23.83811,27.78936,27.75134,27.93373,31.20307,31.2227,31.3766,29.81025,29.87586,30.03294,25.04854,24.96117,25.24032
M3,18.50397,18.07368,18.09683,21.24134,21.37162,21.22058,20.97619,20.85441,20.85714,23.11276,23.08525,23.38539,27.27982,27.326,27.30245,31.08594,31.26204,31.27904,28.95826,28.82185,29.1228,24.45475,24.43622,25.17597
M4,18.2961,18.1396,18.08584,21.4143,21.26513,21.24518,20.79418,21.02328,20.82464,23.06449,23.09985,23.15351,27.18481,27.07314,27.23758,31.08182,30.57889,31.03318,28.96546,29.23028,29.36372,24.5865,24.59768,24.55592
M5,18.35345,18.252,18.42662,21.32344,21.50715,21.35677,21.09079,20.81473,21.05201,23.00901,23.10994,23.32766,27.45444,27.39637,27.47734,31.01667,31.28418,31.65812,28.92071,29.23221,29.16674,24.6525,24.49878,24.54183
M6,18.36421,18.36075,18.28182,21.02036,21.3059,20.94598,20.73579,20.65836,20.74387,23.00564,23.08596,23.24686,26.89393,26.95865,27.41794,30.66494,30.23802,30.83582,29.72502,29.24234,29.2904,24.66163,25.12429,25.18002
M7,18.41469,18.13054,18.23363,22.15394,21.1828,21.01386,20.70497,20.70619,20.81127,23.16969,23.21864,23.31027,27.13624,27.08331,27.21248,30.39282,30.2876,30.74467,28.69385,29.15297,29.18555,24.53391,24.50938,24.76564
M8,18.68465,18.95569,18.53817,21.69522,21.81188,21.33617,21.45017,21.3116,21.10983,23.47595,23.43934,23.51963,27.4066,27.52448,27.37016,31.45065,31.02223,31.1577,29.54988,29.33728,29.4037,24.75732,24.67997,24.71405
M9,18.50016,18.28731,18.14818,21.61167,21.84277,21.30029,21.19072,21.04233,21.20541,22.95573,23.22846,23.40767,27.39513,27.12258,27.23455,29.75813,29.63807,29.47309,28.70353,28.81325,28.83271,24.59281,24.73134,25.07283
M10,18.43278,18.32873,18.1236,21.18175,21.48348,21.1876,20.83291,20.77236,21.11855,22.85155,23.01885,23.25841,27.20353,27.13486,27.23151,30.19751,31.05707,30.32611,29.27733,29.15944,29.34675,24.32689,25.10869,25.08058
M11,18.21873,18.08502,18.09248,21.20041,21.32692,20.9064,20.92785,20.48648,20.73837,22.97385,22.96992,23.1767,26.84993,26.95527,27.04955,30.20979,30.31212,30.06192,28.89949,29.00937,29.2253,24.30606,24.23007,24.23007
